Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR1797969.subsampled_1	55.612871206876875	45.0	100.0	100	45.45454545454545	259647.0
ERR1797969.subsampled_2	54.587049137042406	44.0	100.0	100	45.45454545454545	259647.0
ERR1797970.subsampled_1	49.22075957777601	44.0	100.0	100	36.36363636363637	266601.0
ERR1797970.subsampled_2	45.897686373661294	44.0	100.0	100	36.36363636363637	266601.0
ERR1797971.subsampled_1	50.686107269645944	45.0	100.0	100	45.45454545454545	276469.0
ERR1797971.subsampled_2	47.742546801103224	44.0	100.0	100	36.36363636363637	276469.0
ERR1797972.subsampled_1	41.22877490361178	43.0	100.0	100	9.090909090909092	271093.0
ERR1797972.subsampled_2	35.75021685315831	42.0	100.0	100	18.181818181818183	271093.0
ERR1797973.subsampled_1	41.39066869980505	42.0	100.0	100	9.090909090909092	239803.0
ERR1797973.subsampled_2	35.47498257623742	42.0	100.0	100	18.181818181818183	239803.0
ERR1797974.subsampled_1	38.4742870878306	43.0	100.0	100	9.090909090909092	232777.0
ERR1797974.subsampled_2	32.64087600490541	42.0	100.0	100	18.181818181818183	232777.0
