Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR1797969_R1	43.808852294955194	43.0	99.22004882560766	100	9.090909090909092	131898.0
ERR1797969_R2	41.629137666985095	42.0	98.84973236895176	100	27.27272727272727	131898.0
ERR1797970_R1	44.61531207479557	42.0	99.25143811717793	100	9.090909090909092	148458.0
ERR1797970_R2	41.32616632313516	41.0	98.83325923830309	100	18.181818181818183	148458.0
ERR1797971_R1	45.21493920662715	43.0	99.22503744646737	100	9.090909090909092	142203.0
ERR1797971_R2	42.433000710252244	42.0	98.76871795953672	100	18.181818181818183	142203.0
ERR1797972_R1	38.31543171812485	41.0	99.24767326803665	100	0.0	139466.0
ERR1797972_R2	32.58428577574463	40.0	98.76577803909197	100	9.090909090909092	139466.0
ERR1797973_R1	39.16044574272423	41.0	99.25418154278914	100	0.0	138645.0
ERR1797973_R2	33.04987558152115	40.0	98.88437376032313	100	9.090909090909092	138645.0
ERR1797974_R1	35.87863443839369	41.0	99.25508741759816	100	0.0	125604.0
ERR1797974_R2	29.719594917359316	40.0	98.7171746122735	100	9.090909090909092	125604.0
