# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "4" "-p" "-t" "CDS" "-g" "ID" "-a" "analyse/03_annotation/prokka_output/E745.gff" "-o" "analyse/07_rnaseq_counts/gene_counts.txt" "analyse/06_rnaseq_mapping/ERR1797969.sorted.bam" "analyse/06_rnaseq_mapping/ERR1797970.sorted.bam" "analyse/06_rnaseq_mapping/ERR1797971.sorted.bam" "analyse/06_rnaseq_mapping/ERR1797972.sorted.bam" "analyse/06_rnaseq_mapping/ERR1797973.sorted.bam" "analyse/06_rnaseq_mapping/ERR1797974.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	analyse/06_rnaseq_mapping/ERR1797969.sorted.bam	analyse/06_rnaseq_mapping/ERR1797970.sorted.bam	analyse/06_rnaseq_mapping/ERR1797971.sorted.bam	analyse/06_rnaseq_mapping/ERR1797972.sorted.bam	analyse/06_rnaseq_mapping/ERR1797973.sorted.bam	analyse/06_rnaseq_mapping/ERR1797974.sorted.bam
OMENCOFM_00001	CP014529.1	1	1335	+	1335	112	161	124	232	242	188
OMENCOFM_00002	CP014529.1	1533	2663	+	1131	70	86	101	102	127	124
OMENCOFM_00003	CP014529.1	2826	3134	+	309	19	27	20	25	26	14
OMENCOFM_00004	CP014529.1	3121	4245	+	1125	94	82	70	174	167	144
OMENCOFM_00005	CP014529.1	4242	6188	+	1947	170	211	187	354	358	322
OMENCOFM_00006	CP014529.1	6208	8679	+	2472	482	450	436	855	765	706
OMENCOFM_00007	CP014529.1	8915	9214	+	300	66	100	88	348	336	290
OMENCOFM_00008	CP014529.1	9264	9776	+	513	376	451	413	1105	995	853
OMENCOFM_00009	CP014529.1	9802	10038	+	237	75	72	84	241	248	289
OMENCOFM_00010	CP014529.1	10181	12154	+	1974	69	121	80	98	92	92
OMENCOFM_00011	CP014529.1	12160	12612	+	453	45	51	46	51	67	59
OMENCOFM_00012	CP014529.1	12886	14253	+	1368	28	47	44	98	66	68
OMENCOFM_00013	CP014529.1	15033	16325	+	1293	647	751	625	215	224	216
OMENCOFM_00014	CP014529.1	17112	17975	+	864	53	90	46	122	112	70
OMENCOFM_00015	CP014529.1	18104	19726	-	1623	32	57	36	213	257	208
OMENCOFM_00016	CP014529.1	19975	20496	+	522	64	78	44	35	46	38
OMENCOFM_00017	CP014529.1	20682	22412	-	1731	76	69	63	22	44	23
OMENCOFM_00018	CP014529.1	22577	23395	+	819	10	30	6	26	38	28
OMENCOFM_00019	CP014529.1	23498	23695	-	198	8	10	2	12	14	14
OMENCOFM_00020	CP014529.1	23864	24442	+	579	2	6	2	4	16	10
OMENCOFM_00021	CP014529.1	24537	24674	+	138	0	0	0	2	0	0
OMENCOFM_00022	CP014529.1	25487	25990	-	504	0	4	0	4	10	2
OMENCOFM_00023	CP014529.1	26349	27374	+	1026	2	4	22	28	17	14
OMENCOFM_00024	CP014529.1	27712	28575	+	864	18	2	12	27	33	24
OMENCOFM_00025	CP014529.1	30056	30433	+	378	0	0	0	2	0	0
OMENCOFM_00026	CP014529.1	30527	30757	+	231	0	0	0	6	0	2
